rater,report_id,report_source,evidence_accuracy,usefulness,specificity_actionability,clarity,anticipated_question_appropriateness,overall_quality
rater_A,R1,real_presentation_9p9min,4,5,5,4,5,4
rater_A,R2,scripted_clip_01,4,3,3,3,3,3
rater_A,R3,scripted_clip_02,4,3,3,3,3,3
rater_A,R4,scripted_clip_03,4,3,3,3,3,3
rater_A,R5,scripted_clip_04,5,3,3,4,3,4
rater_A,R6,scripted_clip_05,5,3,3,4,4,4
rater_A,R7,scripted_clip_06,5,3,3,4,4,3
rater_A,R8,scripted_clip_07,5,2,2,3,4,2
rater_A,R9,scripted_clip_08,5,4,3,4,4,4
rater_B,R1,real_presentation_9p9min,4,5,5,4,5,4
rater_B,R2,scripted_clip_01,4,4,4,5,4,4
rater_B,R3,scripted_clip_02,4,4,4,5,4,4
rater_B,R4,scripted_clip_03,4,4,4,5,4,4
rater_B,R5,scripted_clip_04,4,5,4,5,4,4
rater_B,R6,scripted_clip_05,4,4,4,5,4,4
rater_B,R7,scripted_clip_06,3,4,3,4,4,3
rater_B,R8,scripted_clip_07,4,4,3,5,4,4
rater_B,R9,scripted_clip_08,4,4,4,5,4,4
rater_C,R1,real_presentation_9p9min,4,5,5,4,5,4
rater_C,R2,scripted_clip_01,3,4,4,4,5,4
rater_C,R3,scripted_clip_02,4,4,3,4,5,4
rater_C,R4,scripted_clip_03,3,4,4,4,5,4
rater_C,R5,scripted_clip_04,4,4,4,4,4,4
rater_C,R6,scripted_clip_05,4,4,4,4,5,4
rater_C,R7,scripted_clip_06,4,3,2,4,4,3
rater_C,R8,scripted_clip_07,4,3,2,4,4,3
rater_C,R9,scripted_clip_08,3,4,4,4,5,4
